Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-12-25,Home Alone,1990,https://boxd.it/cdQFCx,,Yes,"watching home alone, h̶o̶m̶e̶ alone",,2025-12-25
2025-12-25,Home Alone 2: Lost in New York,1992,https://boxd.it/cdQQ5p,,Yes,the most perfect sequel if there ever was,,2025-12-25
2025-12-27,A Girl Walks Home Alone at Night,2014,https://boxd.it/cfbN37,5,,"me, my kitty n my vampire gf VS THE WORLD.",,2025-12-26
2025-12-27,Tough Guys,1986,https://boxd.it/cfikOn,2.5,,"so i got this book (which this movie was based on, or the other way around who cares) from a flea market about 2 years ago, but ended up never reading it.

but today was the day i finally decided to read this, and just trust me on this, it was the best 25₹ I've spent (yup just 25). pls don't ask me where I get my books from thsu cheap lol I would like to gatekeep this info.",,2025-12-26
2025-12-27,Portrait of a Lady on Fire,2019,https://boxd.it/cfqF63,4.5,,page 28,,2025-12-27
2025-12-27,The Godfather Part II,1974,https://boxd.it/cgbRgj,4.5,,wowzers.,,2025-12-27
2025-12-27,The Godfather Part III,1990,https://boxd.it/cgbRPD,3.5,,my goat fell off (da chair),,2025-12-27
2025-12-28,Honey Don't!,2025,https://boxd.it/cgmxMh,1,,honey pls don't watch this!,,2025-12-27
2025-12-29,Plus One,2019,https://boxd.it/chYEhZ,4,,"literally THE perfect comfort movie. The chemistry, the nuances, the intricacies, the ending. I love this movie soo much.  btw f y u, I have endems in 4 hours and it's 3 in the morning. I just don't know what I am doing and I also don't give a shit. Wo-hooo ho crazy bozo",,2025-12-29
2025-12-31,Sentimental Value,2025,https://boxd.it/clbLaf,5,,"oh my god why is this movie soo good 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭

i swear I have never got this introspective about my life, this shit just straight up tore my conscience. i have no words to describe what I am feeling right now. Masterpiece.",,2025-12-31
2025-12-31,Sleepless in Seattle,1993,https://boxd.it/cld2iH,5,Yes,"Jumped straight to this after watching Sentimental Values. just wanna thank Nora Ephron for making a piece art that I hold soo dear to my heart and i can truely say that its my safe space. :)

And adding to that, Rob Riener had such a heart touching cameo in this one, i just can't be grateful enough for this movie.

Plus, one dialogue that really stuck with me was this right here:

Doctor Yapper: Sam, tell me what was so special about your wife.

Sam: Well, how long is your program? Oh, well, it was a million tiny little things that, when you added them all up, they... they just meant we were supposed to be together. And I knew it, I knew it the very first time I touched her. It was like coming home, only to no home I'd ever known. I was just taking her hand to help her out of a car. And I knew it. It was like... magic.

Absolute Cinema. ♥️",,2025-12-31
2026-01-15,People We Meet on Vacation,2026,https://boxd.it/cDnq8X,1,,"What in Linfield, Ohio propaganda is ts?? 

Exceptionally poor writing smh",,2026-01-14
2026-01-17,Brick,2005,https://boxd.it/cG75Xv,4.5,,this some art shie.,,2026-01-17
2026-01-24,Kyo Kii... Main Jhuth Nahin Bolta,2001,https://boxd.it/cNmbun,3.5,,"Liar Liar meets Better Call Saul meets Govinda. 

W Saturday Afternoon pick.",,2026-01-24
2026-01-24,Chocolate: Deep Dark Secrets,2005,https://boxd.it/cNoncp,1,,mujhe <i>The Usual Suspects</i> phle dekh leni chahiye thi kyuki yeh itni buri remake hai on godddd it robbed me of one of the craziest plot twist 😭😭🥀🥀,,2026-01-24
2026-01-25,12 Angry Men,1957,https://boxd.it/cNwvfx,5,,MASTERPIECE,,2026-01-24
2026-01-25,Ek Ruka Hua Faisla,1986,https://boxd.it/cNxfmf,4.5,,"actually enjoyed watching this, but surely its  not as good as the original one and im not even complaining

i dearly respect mr. basu as its a super ambitious idea to remake this in an Indian setting and still nailing it and staying true to the original plot.",,2026-01-24
2026-01-25,Kuch Kuch Hota Hai,1998,https://boxd.it/cNGU79,,,"This masterpiece is essentially the hindi version of Sleepless in Seattle.

isn't this the coolest thing ever!!! <a href=""https://dontcallitbollywood.com/2021/02/07/valentines-90s-week-of-romance-sleepless-in-seattle-and-kuch-kuch-hota-hai-the-same-story-told-different/"">special thanks to this article that made me realize this!!</a> 

I’m an absolute sucker for good Hindi remakes of Western movies, and this one is a really cool adaptation of Nora Ephron’s work! Btw meri mummy ko bhot psnd hai y movie ♥️ miss u mum ♥️",,2026-01-24
